YEAR,SHORT_DESC,STATE_ALPHA,DOMAINCAT_DESC
1953,"FOOD FISH, TROUT - SALES & DISTRIBUTION, MEASURED IN $",AZ,"INVENTORY OF SHEEP, INCL LAMBS: (1 TO 24 HEAD)"
1957,"EQUINE, PRODUCTS ONLY - SALES, MEASURED IN $",KY,"INVENTORY OF CATTLE, (EXCL COWS): (20 TO 49 HEAD)"
1987,SPORT FISH - OPERATIONS WITH SALES & DISTRIBUTION,CA,INVENTORY: (100 TO 399 HEAD)
1956,"SPORT FISH, REPORTED BY LBS SOLD - SALES & DISTRIBUTION, MEASURED IN LB",CT,"INVENTORY OF SHEEP, INCL LAMBS: (100 TO 299 HEAD)"
2016,"POULTRY TOTALS - HATCHED, MEASURED IN HEAD",DE,"SALES OF HOGS: (1,000 OR MORE HEAD)"
2012,"PHEASANTS - SALES, MEASURED IN HEAD",AL,INVENTORY OF MILK COWS: (500 OR MORE HEAD)
2020,"PARTRIDGES, HUNGARIAN - INVENTORY",TN,"SALES OF CATTLE, INCL CALVES: (50 TO 99 HEAD)"
1958,"HONEY - SALES, MEASURED IN $",TX,INVENTORY OF HOGS: (500 TO 999 HEAD)
1943,"FOOD FISH, CATFISH, REPORTED BY LBS SOLD - SALES & DISTRIBUTION, MEASURED IN LB",GA,INVENTORY OF HOGS: (200 TO 499 HEAD)
1972,TURKEYS - OPERATIONS WITH INVENTORY,KS,SALES OF CATTLE GE 500 LBS: (500 OR MORE HEAD)
1988,"AQUACULTURE, OTHER - OPERATIONS WITH SALES & DISTRIBUTION",CO,SALES OF CALVES: (100 TO 199 HEAD)
2019,ALPACAS - OPERATIONS WITH SALES,FL,SALES OF CALVES: (10 TO 19 HEAD)
2017,GOATS - OPERATIONS WITH SALES,AK,SALES OF HOGS: (500 TO 999 HEAD)
1977,"CATTLE, INCL CALVES - SALES, MEASURED IN HEAD",AR,SALES OF CALVES: (20 TO 49 HEAD)
2014,"CATTLE, COWS, BEEF - INVENTORY",UT,SALES OF CATTLE GE 500 LBS: (1 TO 9 HEAD)
1971,"CHICKENS, BROILERS - INVENTORY",LA,INVENTORY OF HOGS: (1 TO 24 HEAD)
1984,"CATTLE, CALVES - SALES, MEASURED IN HEAD",MN,INVENTORY OF BEEF COWS: (1 TO 9 HEAD)
2013,"ANIMAL TOTALS, INCL PRODUCTS - SALES, MEASURED IN $",NJ,"SALES OF CATTLE, INCL CALVES: (20 TO 49 HEAD)"
1982,"MOHAIR, ANGORA - PRODUCTION, MEASURED IN LB",VA,INVENTORY OF BEEF COWS: (20 TO 49 HEAD)
1941,RHEAS - OPERATIONS WITH INVENTORY,NH,SALES OF HOGS: (50 TO 99 HEAD)
2005,"MINK, LIVE & PELTS - INVENTORY",MI,NOT SPECIFIED
2000,"LLAMAS - SALES, MEASURED IN HEAD",NV,INVENTORY OF MILK COWS: (100 TO 199 HEAD)
1965,"EQUINE, HORSES & PONIES - OPERATIONS WITH INVENTORY",NE,"SALES: (200,000 TO 499,999 HEAD)"
1962,"EQUINE, HORSES & PONIES, OWNED - SALES, MEASURED IN HEAD",NC,"INVENTORY OF CATTLE, (EXCL COWS): (500 OR MORE HEAD)"
1954,"WOOL - PRODUCTION, MEASURED IN LB / HEAD",VT,INVENTORY OF HOGS: (50 TO 99 HEAD)
1981,"CATTLE, ON FEED - OPERATIONS WITH SALES FOR SLAUGHTER",MD,SALES OF CATTLE GE 500 LBS: (10 TO 19 HEAD)
1940,GOATS - OPERATIONS WITH INVENTORY,ME,INVENTORY: (1 TO 49 HEAD)
1978,"FOOD FISH, CATFISH, REPORTED BY LBS SOLD - OPERATIONS WITH SALES & DISTRIBUTION",WA,"INVENTORY OF CATTLE, INCL CALVES: (500 OR MORE HEAD)"
1974,HONEY - OPERATIONS WITH SALES,ND,SALES OF CATTLE GE 500 LBS: (200 TO 499 HEAD)
2002,"AQUACULTURE, OTHER, REPORTED BY LBS SOLD - SALES & DISTRIBUTION, MEASURED IN LB",IN,"INVENTORY: (100,000 OR MORE HEAD)"
1959,"GOATS, MILK - INVENTORY",OH,"INVENTORY OF CATTLE, (EXCL COWS): (50 TO 99 HEAD)"
2009,"GOATS, MILK - OPERATIONS WITH INVENTORY",NM,"SALES: (100,000 TO 199,999 HEAD)"
2018,"EQUINE, HORSES & PONIES, OWNED - OPERATIONS WITH SALES",IA,INVENTORY OF CATTLE ON FEED: (500 OR MORE HEAD)
1995,HOGS - OPERATIONS WITH INVENTORY,NY,SALES OF CATTLE GE 500 LBS: (50 TO 99 HEAD)
1964,"BISON - SALES, MEASURED IN HEAD",WV,SALES OF CATTLE ON FEED: (100 TO 199 HEAD)
1946,"POULTRY, OTHER, INCL DUCKS & GEESE - OPERATIONS WITH SALES",MA,SALES OF CALVES: (50 TO 99 HEAD)
2006,"FOOD FISH, TROUT, REPORTED BY NUMBER SOLD - OPERATIONS WITH SALES & DISTRIBUTION",SC,"INVENTORY: (20,000 TO 49,999 HEAD)"
1976,"ORNAMENTAL FISH, REPORTED BY LBS SOLD - SALES & DISTRIBUTION, MEASURED IN LB",OR,"INVENTORY: (3,200 TO 9,999 HEAD)"
1942,"GOATS, MEAT & OTHER - SALES, MEASURED IN $",RI,INVENTORY OF BEEF COWS: (200 TO 499 HEAD)
1947,"CHICKENS, ROOSTERS - OPERATIONS WITH INVENTORY",ID,INVENTORY OF MILK COWS: (200 TO 499 HEAD)
1967,"CRUSTACEANS - SALES & DISTRIBUTION, MEASURED IN $",MT,SALES OF CATTLE GE 500 LBS: (100 TO 199 HEAD)
1968,"BAITFISH, REPORTED BY LBS SOLD - SALES & DISTRIBUTION, MEASURED IN LB",MO,INVENTORY OF BREEDING HOGS: (100 OR MORE HEAD)
2004,"DEER - SALES, MEASURED IN HEAD",IL,"SALES OF CATTLE, INCL CALVES: (100 TO 199 HEAD)"
2011,"GOATS, ANGORA - SALES, MEASURED IN HEAD",MS,SALES OF HOGS: (1 TO 24 HEAD)
1989,"CHICKENS, LAYERS - OPERATIONS WITH SALES",PA,"INVENTORY OF CATTLE, (EXCL COWS): (100 TO 199 HEAD)"
